Saturday , S600,3056,600 - 32,14:35,South Bellevue Station,West,99554
Saturday , S600,3062,600 - 32,15:15,Redmond Technology Station,West,99569
Saturday , S600,3062,600 - 32,15:17,Overlake Village Station,West,99567
Saturday , S600,3062,600 - 32,15:22,BelRed Station,West,99565
Saturday , S600,3062,600 - 32,15:24,Spring District Station,West,99563
Saturday , S600,3062,600 - 32,15:26,Wilburton Station,West,99561
Saturday , S600,3062,600 - 32,15:28,Bellevue Downtown Station,West,99559
Saturday , S600,3062,600 - 32,15:32,East Main Station,West,99557
Saturday , S600,3062,600 - 32,15:35,South Bellevue Station,West,99554
Saturday , S600,3068,600 - 32,16:15,Redmond Technology Station,West,99569
Saturday , S600,3068,600 - 32,16:17,Overlake Village Station,West,99567
Saturday , S600,3068,600 - 32,16:22,BelRed Station,West,99565
Saturday , S600,3068,600 - 32,16:24,Spring District Station,West,99563
Saturday , S600,3068,600 - 32,16:26,Wilburton Station,West,99561
Saturday , S600,3068,600 - 32,16:28,Bellevue Downtown Station,West,99559
Saturday , S600,3068,600 - 32,16:32,East Main Station,West,99557
Saturday , S600,3068,600 - 32,16:35,South Bellevue Station,West,99554
Saturday , S600,3074,600 - 32,17:15,Redmond Technology Station,West,99569
Saturday , S600,3074,600 - 32,17:17,Overlake Village Station,West,99567
Saturday , S600,3074,600 - 32,17:22,BelRed Station,West,99565
Saturday , S600,3074,600 - 32,17:24,Spring District Station,West,99563
Saturday , S600,3074,600 - 32,17:26,Wilburton Station,West,99561
Saturday , S600,3074,600 - 32,17:28,Bellevue Downtown Station,West,99559
Saturday , S600,3074,600 - 32,17:32,East Main Station,West,99557
Saturday , S600,3074,600 - 32,17:35,South Bellevue Station,West,99554
Saturday , S600,3080,600 - 32,18:15,Redmond Technology Station,West,99569
Saturday , S600,3080,600 - 32,18:17,Overlake Village Station,West,99567
Saturday , S600,3080,600 - 32,18:22,BelRed Station,West,99565
Saturday , S600,3080,600 - 32,18:24,Spring District Station,West,99563
Saturday , S600,3080,600 - 32,18:26,Wilburton Station,West,99561
Saturday , S600,3080,600 - 32,18:28,Bellevue Downtown Station,West,99559
Saturday , S600,3080,600 - 32,18:32,East Main Station,West,99557
Saturday , S600,3080,600 - 32,18:35,South Bellevue Station,West,99554
Saturday , S600,3086,600 - 32,19:15,Redmond Technology Station,West,99569
Saturday , S600,3086,600 - 32,19:17,Overlake Village Station,West,99567
Saturday , S600,3086,600 - 32,19:22,BelRed Station,West,99565
Saturday , S600,3086,600 - 32,19:24,Spring District Station,West,99563
Saturday , S600,3086,600 - 32,19:26,Wilburton Station,West,99561
Saturday , S600,3086,600 - 32,19:28,Bellevue Downtown Station,West,99559
Saturday , S600,3086,600 - 32,19:32,East Main Station,West,99557
Saturday , S600,3086,600 - 32,19:35,South Bellevue Station,West,99554
Saturday , S600,3092,600 - 32,20:15,Redmond Technology Station,West,99569
Saturday , S600,3092,600 - 32,20:17,Overlake Village Station,West,99567
Saturday , S600,3092,600 - 32,20:22,BelRed Station,West,99565
Saturday , S600,3092,600 - 32,20:24,Spring District Station,West,99563
Saturday , S600,3092,600 - 32,20:26,Wilburton Station,West,99561
Saturday , S600,3092,600 - 32,20:28,Bellevue Downtown Station,West,99559
